section,metric,raw,impaired_baseline,impaired_mc
overall,alignment_error_ms_mean,1.81166197296673,30.856551520504294,23.015613151305253
overall,alignment_error_ms_p50,0.113408,27.122176,23.92576
overall,alignment_error_ms_p70,0.144384,38.719744,37.72928
overall,alignment_error_ms_p90,1.182976,50.62208,49.887744
overall,alignment_error_ms_p95,5.012224,55.097984,52.923904
overall,alignment_error_ms_p99,35.777945600000024,75.04023039999997,63.74833919999998
overall,alignment_error_ms_max,916.594688,119.147264,98.487808
overall,out_of_order_fraction,,0.4744288239306662,0.4744288239306662
overall,reconvergence_time_s,,,
topic:/uav12/mavros/global_position/raw/gps_vel,alignment_error_ms_p50,0.117632,48.224768,45.800192
topic:/uav12/mavros/global_position/raw/gps_vel,alignment_error_ms_p95,3.542246399999997,77.5879936,65.6005888
topic:/uav12/mavros/global_position/raw/gps_vel,alignment_error_ms_p99,7.586905599999997,82.1450496,68.59777023999997
topic:/uav12/mavros/global_position/raw/gps_vel,alignment_error_ms_max,16.21632,83.105024,73.503232
topic:/uav12/mavros/global_position/raw/gps_vel,out_of_order_fraction,,0.011725293132328308,0.011725293132328308
topic:/uav12/mavros/global_position/raw/gps_vel,reconvergence_time_s,,,
topic:/uav35/odometry/slow_odom,alignment_error_ms_p50,9.97888,21.691392,16.065792000000002
topic:/uav35/odometry/slow_odom,alignment_error_ms_p95,16.1174528,47.575680000000006,47.575680000000006
topic:/uav35/odometry/slow_odom,alignment_error_ms_p99,28.300595200000078,53.843724800000004,53.843724800000004
topic:/uav35/odometry/slow_odom,alignment_error_ms_max,916.594688,95.703552,95.703552
topic:/uav35/odometry/slow_odom,out_of_order_fraction,,0.017152658662092625,0.017152658662092625
topic:/uav35/odometry/slow_odom,reconvergence_time_s,,,
topic:/uav35/mavros/imu/temperature_imu,alignment_error_ms_p50,0.107264,25.344768000000002,23.318655999999997
topic:/uav35/mavros/imu/temperature_imu,alignment_error_ms_p95,1.3360255999999993,50.3519616,50.3519616
topic:/uav35/mavros/imu/temperature_imu,alignment_error_ms_p99,3.8735052800000087,52.84494848,52.84494848
topic:/uav35/mavros/imu/temperature_imu,alignment_error_ms_max,140.60416,53.620224,53.620224
topic:/uav35/mavros/imu/temperature_imu,out_of_order_fraction,,0.284341172079134,0.284341172079134
topic:/uav35/mavros/imu/temperature_imu,reconvergence_time_s,,,
topic:/uav12/mavros/imu/data_raw,alignment_error_ms_p50,0.089856,48.625152,45.850623999999996
topic:/uav12/mavros/imu/data_raw,alignment_error_ms_p95,1.8779775999999977,77.7904768,65.56070399999999
topic:/uav12/mavros/imu/data_raw,alignment_error_ms_p99,5.4701696000000055,81.7707776,67.33850112
topic:/uav12/mavros/imu/data_raw,alignment_error_ms_max,211.076608,82.875136,74.67392
topic:/uav12/mavros/imu/data_raw,out_of_order_fraction,,0.4554667380179939,0.4554667380179939
topic:/uav12/mavros/imu/data_raw,reconvergence_time_s,,,
topic:/uav35/mavros/global_position/raw/gps_vel,alignment_error_ms_p50,0.116736,25.327616,23.341952
topic:/uav35/mavros/global_position/raw/gps_vel,alignment_error_ms_p95,1.8656000000000001,50.33446399999999,50.33446399999999
topic:/uav35/mavros/global_position/raw/gps_vel,alignment_error_ms_p99,4.621900800000003,52.82917632,52.82917632
topic:/uav35/mavros/global_position/raw/gps_vel,alignment_error_ms_max,96.122368,53.603072,53.603072
topic:/uav35/mavros/global_position/raw/gps_vel,out_of_order_fraction,,0.005208333333333333,0.005208333333333333
topic:/uav35/mavros/global_position/raw/gps_vel,reconvergence_time_s,,,
topic:/mv_25003659/image_raw/compressed,alignment_error_ms_p50,33.34144,29.725184,18.985856
topic:/mv_25003659/image_raw/compressed,alignment_error_ms_p95,35.26816,45.09387519999998,41.123264
topic:/mv_25003659/image_raw/compressed,alignment_error_ms_p99,37.520191999999994,48.77923584,43.06043392
topic:/mv_25003659/image_raw/compressed,alignment_error_ms_max,148.155648,50.258432,46.7584
topic:/mv_25003659/image_raw/compressed,out_of_order_fraction,,0.3601753576372866,0.3601753576372866
topic:/mv_25003659/image_raw/compressed,reconvergence_time_s,,,
topic:/uav12/mavros/imu/mag,alignment_error_ms_p50,0.088576,48.593664,45.845119999999994
topic:/uav12/mavros/imu/mag,alignment_error_ms_p95,1.8479359999999925,77.81169919999999,65.57690879999998
topic:/uav12/mavros/imu/mag,alignment_error_ms_p99,5.4237491200000045,81.82506752,67.29425152
topic:/uav12/mavros/imu/mag,alignment_error_ms_max,211.116544,82.875392,73.843968
topic:/uav12/mavros/imu/mag,out_of_order_fraction,,0.4491318028201841,0.4491318028201841
topic:/uav12/mavros/imu/mag,reconvergence_time_s,,,
topic:/uav12/mavros/imu/static_pressure,alignment_error_ms_p50,0.115456,48.607232,45.831168
topic:/uav12/mavros/imu/static_pressure,alignment_error_ms_p95,2.1028351999999977,77.78263039999999,65.5832064
topic:/uav12/mavros/imu/static_pressure,alignment_error_ms_p99,5.7500876800000045,81.76274944,67.29037824
topic:/uav12/mavros/imu/static_pressure,alignment_error_ms_max,181.139712,82.907904,72.604416
topic:/uav12/mavros/imu/static_pressure,out_of_order_fraction,,0.28869878433138224,0.28869878433138224
topic:/uav12/mavros/imu/static_pressure,reconvergence_time_s,,,
topic:/uav35/odometry/odom_vio,alignment_error_ms_p50,19.769856,28.196096,21.035776
topic:/uav35/odometry/odom_vio,alignment_error_ms_p95,41.866867199999994,59.7904384,59.7904384
topic:/uav35/odometry/odom_vio,alignment_error_ms_p99,45.90368512,68.48084992,68.48084992
topic:/uav35/odometry/odom_vio,alignment_error_ms_max,72.10496,73.418496,73.418496
topic:/uav35/odometry/odom_vio,out_of_order_fraction,,0.45892439594699924,0.45892439594699924
topic:/uav35/odometry/odom_vio,reconvergence_time_s,,,
topic:/uav35/vio_imu/imu_filtered,alignment_error_ms_p50,0.12672,25.30624,23.205632
topic:/uav35/vio_imu/imu_filtered,alignment_error_ms_p95,1.383424,50.366208,50.366208
topic:/uav35/vio_imu/imu_filtered,alignment_error_ms_p99,3.678464,52.857856,52.857856
topic:/uav35/vio_imu/imu_filtered,alignment_error_ms_max,101.542656,53.620224,53.620224
topic:/uav35/vio_imu/imu_filtered,out_of_order_fraction,,0.4949405154260834,0.4949405154260834
topic:/uav35/vio_imu/imu_filtered,reconvergence_time_s,,,
